MSA,Sudanese,lang
 أنا أسف جدا، نحن نجهز لك الغرفة التي طلبتها. لقد وصل الرجل متأخراً إلى الفندق بسبب عطل في سيارته. بعد اعتذار موظف الاستقبال، أخبره أن الغرفة ستكون جاهزة بعد دقائق. شعر الرجل بارتياح لأن الخدمة كانت سريعة وكفؤة. أخيراً، استراح في غرفته متأملاً جمال الإطلالة من النافذة. , أنا آسف خالص، حنجهز ليك الأوضة اللي طلبتها. الزول وصل متأخر للهوتيل بسبب مشكلة في العربية بتاعتو. بعد الإعتذار من الزول القاعد في الاستقبال، قال ليهو إن الأوضة حتكون جاهزة بعد شوية. الزول إتحسس براحة كبيرة لأن الخدمة كانت سريعة وممتازة. في النهاية، قعد في أوضتو يتأمل في الجمال الباني من الشباك. ,Sudanese
 وجدت أحمد خريطة قديمة في السوق، وسأل البائع إذا يمكنه الاحتفاظ بها. أظهرت الخريطة محطات مترو الأنفاق ومحطات الحافلات بوضوح. أخبره البائع أن الخريطة تعود لزمن كانت المدينة في أوج عمرانها. شعر أحمد بشغف لاكتشاف تاريخ المدينة من خلال هذه الخريطة. , لقى احمد خريطة قديمة في السوق، وسأل البايع كدي يقدر يمسك بيها. الخريطة دي بتبين محطات المترو والبصات بوضوح. قال ليهو البايع إن الخريطة دي من زمن كانت المدينة فيها في قمة عمرانها. اتحمس احمد لي اكتشاف تاريخ المدينة عن طريق الخريطة دي. ,Sudanese
 آه لقد فقدت شبزوكي. بدأت البحث عنه في كل مكان، ولكن دون جدوى. شعرت بالحزن الشديد لأنه كان صديقي المفضل. في النهاية، وجدته يختبئ في الحديقة وكانت سعادتي لا توصف. , آه ياخ فقدت شبزوكي. قمت بدور في كل حتة، لكين ما لقيتو. كتر الزعل عليهو لأنو كان صاحبي المقرب. وأخيراً، لقيتو متخبي في الجنينة وفرحتي ما بتنوصف. ,Sudanese
 كنت أسير على الطريق الرئيسي بجانب خليج موروا عندما شاهدتُ غروب الشمس الساحر. فجأة، لمحتُ قارب صيد قديم يقترب من الشاطئ. اقتربتُ لألقي نظرة أفضل ووجدتُ رجلاً عجوزاً يحكي قصص البحار. قضيتُ الساعات القادمة أستمع إلى حكاياته المثيرة وأتأمل جمال الطبيعة المحيطة. , كنت ماشي في الشارع الكبير جنب خليج موروا وشفت الشمس وهي بتغرب وجمالها خيال. فجأة، عيني جات على مركب صيد قديم بيقرب من الشط. قربت عشان أشوف كويس ولقيت زول كبير في السن بيحكي عن حكاوي البحر. فضلت قاعد أسمع لي قصصو المشوقة وأتفرج على الطبيعة الحلوة الحوالينا. ,Sudanese
 نعم، نحن لدينا منهج نصف يوم، ومنهج ليوم كامل. في المدرسة، كان الطلاب يختارون المنهج الذي يناسبهم. طارق اختار المنهج الكامل ليستفيد أكثر. وبعد سنة، استطاع طارق التفوق بفضل جهده والمنهج المتكامل. , أيوا، عندنا منهج لي نص اليوم، وكمان لليوم الكامل. في المدرسة، الولاد بيقدروا يختارو المنهج البيناسبهم. طارق اختار المنهج الكامل عشان يستفيد أكتر. وبعد سنة، طارق قدر يتفوق بي فضل مجهودو والمنهج الكامل داك. ,Sudanese
 كان هناك طائر جميل يحلق في السماء الزرقاء، وكان يحبذ أن يطير عالياً ليرى العالم من حوله. في يوم من الأيام، وجد مكانًا مثاليًا لبناء عشه. ومع مرور الوقت، أصبح العش ملاذًا لطيور أخرى تحبذ أيضًا حلق في السماء الواسعة. , كان في طير حلو بيطير فوق في السما الزرقا، ودايماً كان بيفضل يطير عالي عشان يشوف الدنيا من حولو. في يوم لقى مكان كويس يبني فيهو عشو. ومع الزمن، العش ده صار مكان لطيور تانية برضو بتحب تطير عالي في الفضا. ,Sudanese
 ذهب محمد إلى المتجر لشراء منبه جديد. وجد العديد من الأنواع لكنه اختار واحدًا متطورًا. دفع ثمنه وعاد إلى البيت مسرورًا. في اليوم التالي، استيقظ مبكرًا بفضل المنبه الجديد. , محمد راح للدكان عشان يشتري منبه جديد. لقى أنواع كتيرة لكن اختار حاجة كدا حديثة. دفع قروشه ومشى للبيت فرحان. تاني يوم، قام بدري بسبب المنبه الجديد. ,Sudanese
" في أحد الأيام، قرر محمد إلغاء حجزه في فندق الواحة لأنه وجد مكانًا أقرب إلى موقع العمل. اتصل بالفندق وقال، ""أريد إلغاء حجزي، من فضلك."" تفهم موظف الاستقبال الوضع وألغى الحجز دون رسوم إضافية. شعر محمد بالراحة لأنه سيوفر الوقت والمال في التنقلات. "," في يوم من الأيام، محمد قرر يخت Cancel لحجزو في فندق الواحة لأنو لقى مكان أقرب لشغلو. قام اتصل بالفندق وقال ليهم، ""عاوز أخت Cancel لحجزي، لو سمحتو."" الزول القاعد في الاستقبال فهم الحكاية وخت Cancel لحجز من غير ما يطلب فلوس زيادة. محمد حس براحة كبيرة لأنو ح يوفر في الزمن والقروش الح يدفعها في المواصلات. ",Sudanese
" في يوم من الأيام، كان هناك رجل يتساءل ""ما هو نظام الاسترداد؟""، فقرر البحث عن إجابة. وبعد جهد وبحث طويل، اكتشف أن نظام الاسترداد عبارة عن مجموعة من الإجراءات التي تسمح للمستهلكين بإعادة السلع أو الحصول على تعويض في حالة وجود عيب. شعر بالرضا لأنه أصبح يعرف حقوقه كمستهلك، وقرر أن يشارك معلوماته هذه مع الآخرين ليستفيدوا. "," في يوم من الأيام، واحد كان بيفكر ""الاسترداد دا شنو؟""، قام قرر يدور على الجواب. وبعد ما تعب ودور كتير، لقى إنو نظام الاسترداد دا بيكون مجموعة قوانين تسمح للزبائن يرجعو الحاجات أو يستردو فلوسهم لو فيها عيب. حس براحة لما عرف حقوقو كزبون، وقرر يعلم الناس الكلام دا عشان يستفيدو. ",Sudanese
 في إحدى الليالي المظلمة، اكتشف أحمد أن الإضاءة لا تعمل في منزله. حاول إصلاحها بنفسه، لكن دون جدوى. دعا الكهربائي الذي وجد مشكلة في الأسلاك. بعد الإصلاح، عادت الأنوار لتضيء المنزل مجددًا. , في واحدة من الليالي الضلمة، لقى أحمد النور ما بشتغل في البيت. حاول يصلحو براهو، لكن ما قدر. جاب الكهربائي الجا ولقى المشكلة في الأسلاك. بعد ما صلحو، النور رجع يشتغل تاني في البيت. ,Sudanese
 بالمناسبة، اسمي هيروشي إيجيما، وأنا باحث ياباني مقيم في القاهرة. جئت إلى هنا لدراسة اللغة العربية وآثار الفراعنة. في كل يوم، أذهب إلى المكتبة لأقرأ الكتب النادرة. وقد وجدت صديقًا مصريًا يشاركني شغفي بالتاريخ. , بالمناسبة، اسمي هيروشي إيجيما، وأنا باحث ياباني ساكن في القاهرة. جيت هنا عشان أدرس اللغة العربية وآثار الفراعنة. كل يوم بروح المكتبة عشان أقرأ الكتب القديمة. ولقيت لي صاحب مصري بيشاركني حبي للتاريخ. ,Sudanese
 كان أحمد يعمل مع شركة دولية وكان عليه أن يعقد اجتماعاً مع زملائه في طوكيو. فتساءل ما هو فارق التوقيت بين طوكيو وهنا. بعد البحث عرف أن الفارق هو ٩ ساعات. فاضطر أحمد لضبط منبهه ليستيقظ في منتصف الليل لحضور الاجتماع. , أحمد كان شغال مع شركة دولية وكان لازم يعمل ميتنج مع الزملاء بتاعينو في طوكيو. قام سأل نفسو الساعة كم هناك وكم هنا. لما دور عرف إنو الفرق تسعة ساعات. عشان كدا أحمد وقت المنبه عشان يصحى نص الليل ويحضر الميتنج. ,Sudanese
 في يوم مشمس، استقل محمد القطار متوجهاً إلى لاك فورست. وأثناء الرحلة، تعرف على راكب بجانبه يدعى أحمد. بدأ الاثنان بتبادل الحديث عن وجهتهما وما يخططان لفعله هناك. وعندما اقترب القطار من المحطة، تأكد محمد من أن القطار يتوقف في لاك فورست، فأومأ أحمد برأسه مؤكداً. , في يوم حلو وشمسي، محمد ركب القطر البي ماشي لاك فورست. وفي الطريق، اتعرف على واحد جنبو اسمو أحمد. إتونسوا سوا واتكلموا عن رحلتهم وشنو ناويين يعملوا هناك. لمن القطر قرب يوصل المحطة، محمد سأل عشان يتأكد القطر واقف في لاك فورست ولا لأ، وأحمد أشر براسو يعني أيوة. ,Sudanese
" في أحد الأسواق الشعبية، سأل رجل تاجراً عن سعر بعض البضائع، فأجابه التاجر بابتسامة، ""كم السعر الإجمالي؟""، فأخرج الرجل محفظته وأعطى التاجر النقود بعد أن حصل على إجابة. "," في سوق من الأسواق الشعبية، راجل سأل تاجر كم سعر الحاجات ديك، التاجر ضحك وقال ليهو ""السعر الكلي شنو؟""، الراجل طلع الجنيهات من جيبو ودفع للتاجر بعد ما عرف الحساب. ",Sudanese
 شكراً يا سيدي، لقد أنقذت حياتي. عندما سقطت في النهر، جاء الرجل الشجاع وأمسك بيدي. بعد أن أخرجني من الماء، قدم لي بطانية دافئة وشاياً ساخناً. لن أنسى معروفه طوال حياتي. , مشكور يا زول، انت جد جد أنقذت لي حياتي. لما وقعت في النيل، جاني واحد ديك راجل وقام مسك ايدي. بعد ما طلعني من الموية، عطاني بطانية حارة وشاي حلوب. والله ما حأنسى الزول ده وخيره علي. ,Sudanese
 تقدم للأمام واتجه يمينًا عند الناصية الثالثة، فوجد بابًا خشبيًا قديمًا. دق الباب بحذر، ففتحت له عجوز تحمل مصباحًا. طلب منها المساعدة فأشارت إلى كتاب على الطاولة. كان الكتاب مفتاحًا لألغاز كثيرة كان يبحث عنها منذ سنوات. , مشى قدام ولفّ يمين عند الناصية الثالتة، لقى باب خشب قديم. خبط الباب بي شوية، فتحت ليهو واحدة عجوزة شايلة لمبة. سألها عاوز مساعدة، هي أشرت على كتاب فوق الترابيزة. الكتاب ده كان مفتاح لأسرار كتيرة كان بقالو سنين بيدور عليها. ,Sudanese
 في أحد الأيام، استيقظ يوسف وهو يشعر بألم حاد في معدتيه. حاول تجاهل الألم وتناول بعض الأدوية المسكنة، لكن بلا فائدة. اضطر أخيرًا إلى زيارة الطبيب، الذي أخبره بأنه يعاني من التهاب حاد في المعدة ويحتاج إلى الراحة والعلاج. بعد اتباع التعليمات والراحة لعدة أيام، شعر يوسف بتحسن كبير وعاد إلى حياته اليومية بصحة جيدة. , يوم واحد، قام يوسف من النوم وهو حاسي بوجع شديد في كرشو. حاول يتغافل عن الألم وشرب ليهو شوية دواء، لكن ما كان في أي فايدة. اضطر في النهاية يروح للدكتور، القال ليهو إنو عندو التهاب حاد في المعدة ولازم يرتاح ويتعالج. بعد ما اتبع الإرشادات واستراح لي كم يوم، حس يوسف بتحسن كبير ورجع لحياتو العادية وهو بصحة طيبة. ,Sudanese
 كان هناك شاب ياباني يعشق الأخطبوط والحبار، لذلك قرر أن يتعلم فن طهيهما ببراعة. بعد سنوات من التدريب، أصبح الشاب طاهيًا مشهورًا في طوكيو. كانت مطعمه يجذب السياح من جميع أنحاء العالم لتذوق أطباقه الفريدة. وفي كل مرة يزور فيها الناس مطعمه، كانوا يشيدون بمهارته في تحضير الأخطبوط والحبار. , في واحد ياباني شاب بيعشق الأخطبوط والكلماري، عشان كدا قرر يتعلم الطبخة دي صاح. بعد سنين من التمرن، بقى الزول دا طباخ مشهور في طوكيو. مطعمو بقى يجذب الناس من كل حتة في الدنيا عشان يجربو أكلو الخاص. وكل مرة الناس يجو مطعمو، كانو بيمدحو فيه وفي أيده لما يجهز الأخطبوط والكلماري. ,Sudanese
" في أحد الأيام وأثناء سيري في الحديقة، شاهدت طائراً نادراً يقف على غصن شجرة. استوقفني جماله وألوانه الزاهية فوقفت أتأمله. تساءلت في نفسي ""هل رأيت ذلك من قبل؟"" لأنني لم أرَ مثله في حياتي. بقيت هناك لوقت طويل أراقب الطائر حتى طار بعيداً. "," في يوم من الأيام وأنا ماشي في الجنينة، شفت طير نادر قاعد على فرع شجرة. جمالو وألوانو الفاقعة خلتني أوقف أتامل فيهو. قلت لنفسي ""شفت الحاجة دي قبل كدا؟"" لأني ما شفت زيو في حياتي. قعدت هناك فترة طويلة أراقب الطير لغاية ما طار وابعد. ",Sudanese
" أحضر محمد هدية مميزة لعيد ميلاد صديقه العزيز. طلب من البائع أن يقوم بتغليفها بعناية فائقة. قال البائع مبتسمًا: ""أنها هدية. هل يمكنك أن تقوم بلف هذه الهدية لي؟"" فوافق محمد على الفور وشعر بسعادة غامرة لتقديمها. "," محمد جاب هدية حلوة لعيد ميلاد صاحبو الضنين. قال للبتاع: ""ودّك تشيلها لي بعناية؟"". البتاع ابتسم وقال: ""دي هدية. ممكن تشيلها لي؟"" محمد وافق وحس بفرحة كبيرة وهو جاهز يديها. ",Sudanese
 مساء الخير، السيدة كنت. لم نلتقي منذ زمن بعيد. في ذلك اليوم، كان الجو باردا والسماء صافية عندما التقت السيدة كنت بصديقة قديمة في الحديقة. تبادلا الأخبار والذكريات، وضحكا على الأيام الخوالي. قررتا بعد ذلك أن يجددا العهد بلقاءات دورية ليحافظا على الصداقة القوية. ومع غروب الشمس، ودعتا بعضهما بابتسامة دافئة، عازمتين على عدم ترك الزمن يفرق بينهما مجددا. , مساء الخير، يا مدام كنت. زمان علينا ما شفنا بعض. في اليوم داك، كان الجو بارد والسما صافية لما الست كنت قابلت صاحبتها القديمة في الجنينة. فاتوا وقتهم يتسامروا ويتذكروا الحاجات الحلوة الفاتت، وضحكوا على زمن أول. بعدين اتفقوا إنهم يعاودوا اللقاءات ديمة عشان ما يضيعوا الصداقة القوية الكانت بيناتهم. ومع مغيب الشمس، سلموا على بعض بابتسامة حارة، وعاهدوا بعض ما يخلوا الزمن يبعدهم تاني. ,Sudanese
" في يوم حار، ذهب خالد إلى المحطة ليحجز تذكرتين إلى شيكاغو. وقف عند الشباك وسأل بأدب: ""هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغو، من فضلك؟"" ابتسم الموظف وأعطاه التذاكر، متمنياً له رحلة سعيدة. شعر خالد بسعادة غامرة وهو يتطلع إلى الرحلة. "," في يوم حار قايد، خالد راح للمحطة عشان يحجز تذكرتين لشيكاغو. وقف قدام الشباك وقال بأدب: ""ممكن أخد تذكرتين درجة تانية لشيكاغو، لو سمحت؟"" الزول في الشباك ابتسم واداهو التذاكر، وقال ليهو ""تسافر بي سعادة."" خالد اتبسط جداً وهو مستني السفرة بفارغ الصبر. ",Sudanese
" كان هناك رجل يشعر بالتعاسة دائمًا. ذات يوم، قرر أن يغير من نظرته للحياة ويبحث عن السعادة. بدأ بمساعدة الآخرين واكتشف أن ذلك يجعله سعيدًا. في نهاية المطاف، تحولت حياته وأصبح يقول دائمًا ""أنا أسعد"". "," كان في واحد دايماً كئيب. في يوم من الأيام قرر يغير شوية ويدور على الفرحة. بدأ يساعد الناس ولقى نفسو بيفرح لما يعمل كدة. في الآخر، حياتو اتغيرت وصار دايماً يقول ""أنا أسعد"". ",Sudanese
 لقد ذهبت إلى نيويورك. وأثناء تجولي في شوارع المدينة، شعرت بالإثارة لرؤية ناطحات السحاب. التقيت بأشخاص من مختلف الثقافات، وتناولت أشهى الأطعمة. في نهاية الرحلة، وجدت نفسي مغرمًا بعبق التاريخ وحداثة المدينة. , أنا مشيت لنيويورك. وفي ماشي في شوارع المدينة ديك، حسيت بي حماس عالي وأنا شايف العمارات الطويلة. قابلت ناس من ثقافات مختلفة، وكليت أكلات لذيذة خلاص. ولما خلصت الزيارة، لقيت روحي معجب بتراث المدينة وحداثتها. ,Sudanese
 قررت ليلى تغيير حجزها للرحلة الجوية رقم 205 لتفاجأ بأن التذاكر قد نفدت. بحثت بكل جهد عن رحلة بديلة ووجدت واحدة تغادر في اليوم التالي. اتصلت بالشركة فوراً وتمكنت من حجز مقعد في اللحظة الأخيرة. شعرت بالامتنان لأنها ستستطيع اللحاق بموعد مهم في الثاني من أكتوبر. , قررت ليلى تغيير حجزها لي الطيارة رقم 205 لكين تفاجأت لما لقت التذاكر خلصت. دورت بي كل طاقتها على طيارة تانية ولقت واحدة حتمشي اليوم الجاي. اتصلت بالشركة على طول وقدرت تحجز مقعد في آخر لحظة. حست بي جميل شديد لأنها ح تقدر تلحق موعد مهم في الثاني من أكتوبر. ,Sudanese
" في أحد أيام الصيف الحارة، توجه محمد إلى المطار حاملاً حقائبه متجهًا نحو مكتب الاستعلامات وسأل الموظف: ""ما هو رقم الرحلة الجوية؟"". ابتسم الموظف وأخبره بأن رحلته ستقلع بعد ساعتين. شعر محمد بالارتياح وقرر قضاء بعض الوقت في متجر الكتب بالمطار. عندما حان وقت الصعود إلى الطائرة، كان محمد متحمسًا لبدء مغامرته الجديدة. "," في واحد من الأيام الحارة ديك، محمد راح للمطار شايل شنطو ومشى لعند الاستعلامات وسأل الزول: ""ما هو رقم الطيارة؟"". الزول داك ابتسم ليهو وقال ليهو طيارتك ح تقلع بعد ساعتين. محمد حس براحة وقرر يقضي شوية وقت في دكان الكتب الفي المطار. لمن جا وقت الركوب في الطيارة، محمد كان متحمس لي بداية رحلتو الجديدة. ",Sudanese
" وجد أحمد نفسه في مطار مزدحم يبحث عن طاولة التسجيل الخاصة بشركة دلتا. بعد جولة من التخبط, استطاع أخيرا أن يجدها في زاوية بعيدة. سجل حقيبته بسرعة وتنفس الصعداء. انطلق بعدها صوب بوابة الصعود للطائرة، متحمسًا لرحلته القادمة. ", أحمد لقي روحو في مطار زحمة، قاعد يدور على طاولة تسجيل دلتا. بعد ما لف لفة كده، لقاها في ركن بعيد. سجل شنتتو بالسريع وفك زنقتو. بعدها راح لبوابة الطيارة، مستني الرحلة بفارغ الصبر. ,Sudanese
" كان يعقوب يتبع حمية غذائية خاصة بسبب مشاكل في ضغط الدم. فسأل الطباخ في المطعم: ""هل هذه وجبة منخفضة الصوديوم؟"" اطمأن عندما أكد له الطباخ ذلك. ومنذ ذلك اليوم، أصبح يعقوب يزور هذا المطعم بانتظام. "," يعقوب كان بيتبع رجيم خاص عشان عندو مشاكل في الضغط. سأل الكوك: ""دي وجبة فيها ملح قليل؟"" لمن الكوك طمنو، صار يعقوب يجي للمطعم دا دايماً. ",Sudanese
 هذا البند غير مسموح به في السوق، فقد حظرته الحكومة بسبب مخاطره. كان علي الحاج أن يبحث عن بديل يمكنه تداوله. بعد جهد وتفكير، وجد سلعة أخرى مربحة وقانونية. أصبح بعد ذلك من أشهر التجار في البلدة. , الحاجات دي ما مسموح بيها في السوق، الحكومة حظرتها عشان خطرة. علي الحاج لازم يدور على حاجة تانية يقدر يشتغل بيها. بعد تفكير وشغلانة، لقا ليهو سلعة تانية مفيدة وما فيها حرام. وبقى من بعدها من أشهر التجار في الحلة. ,Sudanese
 أعتقد أننا نستطيع. ها هي ورقتك. في تلك اللحظة، شعر أحمد بأن كل جهوده قد تكللت بالنجاح. أخذ الورقة بيد مرتعشة، وعيناه تلمعان بالدموع. قرأ النتيجة بصوت عالٍ أمام أصدقائه المتجمعين، والجميع يهتفون فرحين بنجاحه. وفي الخارج، كانت أمه تنتظر بفارغ الصبر لتحتفل مع ابنها النابغة. , بفتكر إننا قادرين. دي ورقتك. في اللحظة ديك، حس أحمد إنو كل تعبو ما راح خلاص. مسك الورقة وإيدو بترتعش، وعيونو دمعان. قرا النتيجة بصوت جهوري قدام صحابو الواقفين حواليه، وكلهم فرحانين وبهتفو ليهو. وبره، أمو كانت مستنية على أحر من الجمر تحتفل مع ولدها الشاطر. ,Sudanese
 في ليلة باردة، خلع يوسف قميصه الثقيل قبل أن يذهب للنوم. وضعه بعناية فوق الكرسي الخشبي المتهالك. تسلل البرد إلى جسده، لكنه شعر براحة بالغة تحت الأغطية الدافئة. أغمض عينيه واستسلم للنوم العميق بعد يوم طويل وشاق. , في ليلة باردة، يوسف شال توبه الثقيل قبل ما يمشي ينوم. حطو فوق الكرسي الخشب الداير يقع. البرد جاه، لكن تحت البطاطين الدافيه حس براحة كبيرة. غمض عيونو ونام ليهو نومة طويلة بعد يوم طويل شديد. ,Sudanese
" وصل عمر إلى الفندق متأخرًا وكان متعبًا، فطلب من الاستقبال إيقاظه مبكرًا. قال للموظف: ""لا، سوف أخذها خلال فترة إقامتي""، مشيرًا إلى الصحيفة المجانية. استيقظ عمر باكرًا وتناول القهوة بينما يقرأ الأخبار. عند تسجيل الخروج، شكر الموظفين ووعدهم بالعودة في المرة القادمة. "," عمر وصل الفندق متأخر وكان تعبان، فطلب من الريسبشن يفوقوهو بدري. قال ليهم: ""لا، أنا حا آخد الجريدة الفترة كلها وأنا هنا""، وكان قاصد الجريدة المجانية. عمر فاق بدري وشرب قهوتو وهو قاري الأخبار. وقت ما جا يمشي، شكر ناس الفندق وقال ليهم حا يجيهم تاني. ",Sudanese
" كانت قطعة القماش تتغير ألوانها حسب الضوء، فأحياناً تبدو زرقاء وأحياناً خضراء. لاحظ الخياط هذه الظاهرة فسأل نفسه ""هل هو ثابت اللون؟"" قرر أن يختبر القماش تحت أنواع مختلفة من الإضاءة. وجد أن القماش يحتفظ بخاصية التغير مهما تعددت مصادر الضوء. "," القماشة دي لونا بيتغير مع الضوء، ساعات تبقى زرقاء وساعات خضرا. الخياط لاحظ الحاجة دي وسأل روحو ""هل هو ثابت اللون؟"" قرر يجرب القماشة مع أنواع مختلفة من النور. لقى أنو القماشة بتحافظ على حالة تغيير اللون حتى لو نورها اتغير. ",Sudanese
 في أحد أحياء المدينة العتيقة، كانت توجد بوابة زمنية تنقل من يعبرها إلى الماضي. السكان المحليون اعتبروها خاصية خاصة بهذا الحي. يوماً ما، قرر شاب مغامر العبور من خلالها، فاكتشف عوالم لم يكن يعلم بوجودها. عاد محملاً بالحكايات والأسرار التي جعلت الحي مشهوراً ومحط أنظار العالم. , في واحد من الأحياء القديمة في المدينة، كان في باب زمني يودي الواحد لي زمن قديم لما يعبرو. الناس الساكنين هناك قالو دي حاجة خاصة بي حتتهم دا. واحد زول شجاع قرر يجرب يعدي منو، ولقى عوالم تانية ما كان يتخيلها. رجع معاهو حكايات وأسرار خلت الحي دا معروف وناس من كل حتة بقو يجو يشوفو. ,Sudanese
 كان هناك طفل يدعى عمر يحب البسكويت كثيرًا. في كل مرة يزور فيها جدته، كانت تعد له أطيب أنواع البسكويت. ذات يوم، قرر عمر أن يتعلم كيفية صنع البسكويت بنفسه. بعد عدة محاولات، أصبح عمر يصنع البسكويت بمهارة وأصبحت وصفاته مشهورة بين أصدقائه. , كان في ولد اسمو عمر بحب البسكوت شديد. كل مرة يمشي لي جدتو، هي تسوي ليهو أحلى بسكوت. في يوم من الأيام، قرر عمر يتعلم يعمل البسكوت براهو. بعد جربات كتيرة، بقى عمر يعمل البسكوت بي إتقان ووصفاتو انتشرت بين صحابو. ,Sudanese
" في يوم مشمس، قرر أحمد أن يسافر إلى نيويورك ليحقق حلمه بزيارة تمثال الحرية. بعد التخطيط لأسابيع، وجد نفسه واقفًا أمام مكتب حجز التذاكر يقول ""واحد لنيويورك، من فضلك"". خلال الرحلة، التقى بمسافرين من مختلف الثقافات وتبادل معهم القصص والخبرات. وعند وصوله، شعر أحمد بالإثارة والنشوة وهو ينظر إلى المدينة التي لطالما حلم بزيارتها. "," في يوم حلو وشمسي، أحمد قرر يروح نيويورك يشوف تمثال الحرية الكان دايماً بحلم بيهو. بعد ما خت الخطط كلها، وقف قدام الكاونتر وقال ""واحد لنيويورك، لو سمحت"". في الطيارة، قابل ناس من جنسيات مختلفة ودردش معاهم وتبادلوا الحكاوي. ولما وصل، حس بفرحة كبيرة وهو بتفرج على المدينة الكان دايماً متمني يزورها. ",Sudanese
 لعدة أيام قليلة، بقي الطائر صغيراً في عشه ينتظر عودة أمه. في اليوم الخامس، لاحظ أن الغابة أصبحت هادئة بشكل غريب. شعر بالجوع الشديد، فقرر أن يخرج بحثاً عن الطعام. وخلال رحلته، وجد صديقاً جديداً يعلمه كيف يطير. , كم يوم كدا، العصفور الصغيرو داير في وكرو ساي يستنى أمو تجيهو. في اليوم الخامس، لقى الغابة دي سكتت بشكل غريب كدا. جاتو جوعة شديدة، قال أمشي أدوّر لي على أكل. وفي مشوارو، لقى ليهو صاحب جديد علّمو يطير. ,Sudanese
 في يوم حافل بالأحداث، وجد خالد نفسه في طابور طويل أمام مكتب البريد. وبعد انتظار طويل، حان دوره ليقترب من الشباك. ذكره الموظف بأن يتبع التعليمات المعلقة على الجدار. فنظر خالد إلى الإرشادات وتقدم الثاني من على اليسار. , في يوم زحمة، خالد لقى نفسو واقف في صف طويل قدام مكتب البوستة. وبعد ما انتظر كتير، جا دورو يقرب من الشباك. الزول القاعد هناك قال ليهو يمشي حسب اللوحات العليها التعليمات. خالد بص للتعلمات وتحرك تاني واحد على الشمال. ,Sudanese
 في يوم من الأيام، وجدت قطة صغيرة تائهة في الشارع، يبدون في حجم صغير جداً. اقترب منها صبي صغير وقرر أن يأخذها إلى بيته. عندما وصلوا، أطعمها واعتنى بها. ومع مرور الوقت، أصبحت القطة الصغيرة جزءًا لا يتجزأ من عائلته. , في يوم من الأيام، لقيتو قطوة صغيرة دايرة في الشارع، شكلها صغير خالص. ولد صغير اقترب منها وقرر يخدها لحوشهم. لما وصلو، أكلها واهتم بيها. وبي مرور الزمن، القطوة الصغيرة بقت جزء أصيل من الأسرة. ,Sudanese
 في إحدى البطولات القوية، وجد اللاعب نفسه أمام تحديات كبيرة. كانت الجولات معقدة وكل خصم أقوى من الآخر. تمكن بعزيمة وتصميم من تخطي الصعوبات. وفي النهاية، ارتفعت يداه معلنًا فوزه المستحق. , في واحدة من البطولات القوية ديك، لاقى اللاعب نفسو في واجهة تحديات كبيرة. الجولات كانت مُعقدة وكل منافس أقوى من التاني. بس بالعزيمة والإصرار قدر يتغلب على الصعوبات. وفي الآخر، اترفعت إيديه فوق مُعلن فوزو المستاهل. ,Sudanese
